pop_size,generations,mutation_rate,seed,best_profit,best_line
100,100,0.05,1,4733414.090027548,"[""Reese's Miniatures"", 'Kit Kat', ""Reese's Peanut Butter cup"", 'Snickers', 'Starburst', 'Skittles original']"
100,100,0.05,2,5280386.278201653,"['Milky Way', ""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Kit Kat', 'Snickers', 'Starburst', '3 Musketeers']"
100,100,0.05,3,4733414.090027548,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Kit Kat', 'Skittles original', 'Snickers']"
100,100,0.1,1,4733414.090027548,"[""Reese's Miniatures"", 'Kit Kat', ""Reese's Peanut Butter cup"", 'Starburst', 'Snickers', 'Skittles original']"
100,100,0.1,2,5280386.278201653,"['Milky Way', ""Reese's Miniatures"", 'Snickers', 'Kit Kat', ""Reese's Peanut Butter cup"", 'Starburst', '3 Musketeers']"
100,100,0.1,3,4733414.090027548,"[""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Starburst', 'Snickers', 'Kit Kat', 'Skittles original']"
100,100,0.2,1,4733414.090027548,"[""Reese's Miniatures"", 'Starburst', ""Reese's Peanut Butter cup"", 'Kit Kat', 'Snickers', 'Skittles original']"
100,100,0.2,2,5280386.278201653,"['Milky Way', ""Reese's Miniatures"", 'Snickers', 'Kit Kat', ""Reese's Peanut Butter cup"", 'Starburst', '3 Musketeers']"
100,100,0.2,3,4733414.090027548,"[""Reese's Miniatures"", 'Kit Kat', 'Starburst', 'Snickers', ""Reese's Peanut Butter cup"", 'Skittles original']"
200,100,0.05,1,5277338.190094898,"[""Reese's Peanut Butter cup"", '3 Musketeers', ""Reese's Miniatures"", 'Starburst', 'Kit Kat', 'Snickers', ""Reese's stuffed with pieces""]"
200,100,0.05,2,5723555.840003397,"['3 Musketeers', ""Reese's Peanut Butter cup"", ""Reese's Miniatures"", 'Kit Kat', 'Snickers', 'Milky Way', ""Reese's stuffed with pieces"", 'Twix']"
200,100,0.05,3,5723555.840003396,"['Kit Kat', 'Milky Way', 'Snickers', '3 Musketeers', ""Reese's Miniatures"", ""Reese's stuffed with pieces"", ""Reese's Peanut Butter cup"", 'Twix']"
200,100,0.1,1,5280386.278201653,"['Snickers', 'Kit Kat', ""Reese's Miniatures"", ""Reese's Peanut Butter cup"", 'Milky Way', 'Starburst', '3 Musketeers']"
200,100,0.1,2,5723555.840003397,"[""Reese's stuffed with pieces"", '3 Musketeers', ""Reese's Peanut Butter cup"", ""Reese's Miniatures"", 'Kit Kat', 'Milky Way', 'Snickers', 'Twix']"
200,100,0.1,3,5723555.840003396,"['Kit Kat', 'Milky Way', ""Reese's Peanut Butter cup"", 'Snickers', 'Twix', ""Reese's Miniatures"", ""Reese's stuffed with pieces"", '3 Musketeers']"
200,100,0.2,1,5280386.278201653,"[""Reese's Miniatures"", 'Milky Way', 'Snickers', ""Reese's Peanut Butter cup"", 'Kit Kat', 'Starburst', '3 Musketeers']"
200,100,0.2,2,5723555.840003397,"['3 Musketeers', ""Reese's Peanut Butter cup"", 'Kit Kat', 'Snickers', ""Reese's Miniatures"", 'Twix', 'Milky Way', ""Reese's stuffed with pieces""]"
200,100,0.2,3,5723555.840003396,"['Kit Kat', 'Milky Way', ""Reese's Peanut Butter cup"", 'Snickers', 'Twix', ""Reese's Miniatures"", '3 Musketeers', ""Reese's stuffed with pieces""]"
